id	name	address	city	phone	type	merged_values
144	second street grill	2EFS	las vegas	7023856277	pacific rim	
145	steak hous	2LVBS	las vegas	7027340410	steak houses	
146	steak hous  the	2LVBS	las vegas	7027340410	steakhouses	
147	tillerman	2EFR	las vegas	7027314036	seafood	
148	tillerman  the	2EFR	las vegas	7027314036	steakhouses	
149	abruzzi	2PRPBSC	atlanta	4042618186	italian	
150	abruzzi	2PRN	atlanta	4042618186	italian	
151	bacchanalia	3PRNPR	atlanta	4043650410	international	
152	bacchanalia	3PR	atlanta	4043650410	californian	
153	bone'	3PR	atlanta	4042372663	american	
154	bone' restaur	3PRN	atlanta	4042372663	steakhouses	
155	brasseri le coze	3PRLSMNNM	atlanta	4042661440	french	
156	brasseri le coze	3PR	atlanta	4042661440	french bistro	
157	buckhead diner	3PR	atlanta	4042623336	american	
158	buckhead diner	3PR	atlanta	4042623336	american (new)	
159	ciboulett	1PA	atlanta	4048747600	french	
160	ciboulett restaur	1PA	atlanta	4048747600	french (new)	
161	delect	1MMS	atlanta	4046812909	american	
162	delect	1MMS	atlanta	4046812909	cafeterias	
163	georgia grill	2PRPSSC	atlanta	4043523517	american	
164	georgia grill	2PR	atlanta	4043523517	southwestern	
165	hedgeros height inn	4EPFR	atlanta	4042337673	international	
166	hedgeros height inn  the	4EPFRN	atlanta	4042337673	continental	
167	heera of india	5PARSM	atlanta	4048764408	asian	
168	heera of india	5PA	atlanta	4048764408	indian	
169	indigo coastal grill	1NHA	atlanta	4048760676	caribbean	
170	indigo coastal grill	1NHA	atlanta	4048760676	eclectic	
171	la grotta	2PRPHC	atlanta	4042311368	italian	
172	la grotta	2PRN	atlanta	4042311368	italian	
173	mari mac' tea room	2PDLA	atlanta	4048761800	southern	
174	mari mac' tea room	2PDLA	atlanta	4048761800	southern/soul	
175	nikolai' roof	2CSAHS	atlanta	4042216362	continental	
176	nikolai' roof	2CS	atlanta	4042216362	continental	
177	pano' and paul'	1WPFR	atlanta	4042613662	international	
178	pano' & paul'	1WPFR	atlanta	4042613662	american (new)	
179	cafe  ritz-carlton  buckhead	3PR	atlanta	4042372700	ext 6108 international	
180	ritz-carlton cafe (buckhead)	3PRN	atlanta	4042372700	american (new)	
181	dine room  ritz-carlton  buckhead	3PR	atlanta	4042372700	international	
182	ritz-carlton dine room (buckhead)	3PRN	atlanta	4042372700	american (new)	
183	restaur  ritz-carlton  atlanta	1PS	atlanta	4046590400	continental	
184	ritz-carlton restaur	1PS	atlanta	4046590400	french (classic)	
185	toulous	BPR	atlanta	4043519533	french	
186	toulous	2PR	atlanta	4043519533	french (new)	
187	veni vidi vici	41S	atlanta	4048758424	italian	
188	veni vidi vici	41S	atlanta	4048758424	italian	
189	alain rondelli	1CS	san francisco	4153870408	french	
190	alain rondelli	1CS	san francisco	4153870408	french (new)	
191	aqua	2CS	san francisco	4159569662	seafood	
192	aqua	2CS	san francisco	4159569662	american (new)	
193	boulevard	1MS	san francisco	4155436084	american	
194	boulevard	1MS	san francisco	4155436084	american (new)	
195	cafe claud	7CL	san francisco	4153923505	french	
196	cafe claud	7CL	san francisco	4153923505	french bistro	
197	campton place	3SS	san francisco	4159555555	american	
198	campton place	3SS	san francisco	4159555555	american (new)	
199	chez michel	8N	san francisco	4157757036	french	
200	chez michel	8NPS	san francisco	4157757036	californian	
201	fleur de ly	7SS	san francisco	4156737779	french	
202	fleur de ly	7SS	san francisco	4156737779	french (new)	
203	fringal	54S	san francisco	4155430573	french	
204	fringal	5FS	san francisco	4155430573	french bistro	
205	hawthorn lane	2HS	san francisco	4157779779	american	
206	hawthorn lane	2HS	san francisco	4157779779	californian	
207	khan toke thai hous	5GB	san francisco	4156686654	asian	
208	khan toke thai hous	5GB	san francisco	4156686654	thai	
209	la foli	2PS	san francisco	4157765577	french	
210	la foli	2PS	san francisco	4157765577	french (new)	
211	lulu	8FS	san francisco	4154955775	mediterranean	
212	lulu restaurant-bis-caf	8FS	san francisco	4154955775	mediterranean	
213	masa'	6BS	san francisco	4159897154	french	
214	masa'	6BS	san francisco	4159897154	french (new)	
215	mifun japan center  kintetsu build	1PS	san francisco	4159220337	asian	
216	mifun	1PS	san francisco	4159220337	japanese	
217	plumpjack cafe	3FS	san francisco	4155634755	mediterranean	
218	plumpjack cafe	3FS	san francisco	4155634755	american (new)	
219	postrio	5PS	san francisco	4157767825	american	
220	postrio	5PS	san francisco	4157767825	californian	
221	ritz-carlton restaur and dine room	6SS	san francisco	4152967465	american	
222	ritz-carlton dine room (san francisco)	6SS	san francisco	4152967465	french (new)	
223	rose pistola	5CA	san francisco	4153990499	italian	
224	rose pistola	5CA	san francisco	4153990499	italian	
225	adriano' ristorant	2BGC	los angeles	3104759807	italian	
226	barnei greengrass	9WB	beverly hills	3107775877	american	
227	beaurivag	2PCH	malibu	3104565733	french	
228	bistro garden	1NCD	los angeles	3105503900	californian	
229	border grill	4S	los angeles	3104511655	mexican	
230	broadwai deli	3SP	santa monica	3104510616	american	
231	ca'brea	3SLBA	los angeles	2139382863	italian	
232	ca'del sol	4CB	los angeles	8189854669	italian	
233	cafe pinot	7WFS	los angeles	2132396500	californian	
234	california pizza kitchen	2SBD	los angeles	3102751101	californian	
235	canter'	4NFA	los angeles	2136512030	american	
236	cava	3S	los angeles	2136588898	mediterranean	
237	cha cha cha	6NVA	los angeles	2136647723	caribbean	
238	chan dara	3NLB	los angeles	2134671052	asian	
239	clearwat cafe	1WCB	los angeles	8183560959	health food	
240	dine room	9WB	los angeles	3102755200	californian	
241	dive!	1SMB	los angeles	310788	dive american	
242	drago	2WB	santa monica	3108281585	italian	
243	drai'	7NLCB	los angeles	3103588585	french	
244	dynasti room	9HA	los angeles	3102088765	continental	
245	eclips	8MA	los angeles	3107245959	californian	
246	ed debevic'	1NLC	los angeles	3106591952	american	
247	el cholo	1SWA	los angeles	2137342773	mexican	
248	gilliland'	2MS	santa monica	3103923901	american	
249	gladstone'	4F1PCHASB	pacific palisades	3104543474	american	
250	hard rock cafe	8BB	los angeles	3102767605	american	
251	harry' bar & american grill	2AOTS	los angeles	3102772333	italian	
252	il fornaio cucina italiana	3NBD	los angeles	3105508330	italian	
253	jack sprat' grill	1WPB	los angeles	3108376662	health food	
254	jackson' farm	4NBD	los angeles	3102735578	californian	
255	jimmy's	201 moreno dr.	los angeles	310/552-2394	continental	
256	joss	9SB	los angeles	3102761886	asian	
257	le coloni	8BB	los angeles	3102890660	asian	
258	le dome	8SB	los angeles	3106596919	french	
259	louise' trattoria	4LFB	los angeles	2136670777	italian	
260	mon kee seafood restaur	6NSS	los angeles	2136286717	asian	
261	morton'	8MA	los angeles	3102765205	american	
262	nate 'n' al'	4NBD	los angeles	3102740101	american	
263	nicola	6SFS	los angeles	2134850927	american	
264	ocean avenu	1OA	santa monica	3103945669	american	
265	orlean	1NB	los angeles	3104794187	cajun	
266	pacif dine car	6S	los angeles	2134836000	american	
267	paty'	1RD	toluca lake	8187619126	american	
268	pinot hollywood	1NGS	los angeles	2134618800	californian	
269	posto	1VB	sherman oaks	8187844400	italian	
270	prego	3NCD	los angeles	3102777346	italian	
271	rj' the rib joint	2NBD	los angeles	3102747427	american	
272	remi	3SP	santa monica	3103936545	italian	
273	restaur horikawa	1SSPS	los angeles	2136809355	asian	
274	roscoe' hous of chicken 'n' waffl	1NGS	los angeles	2134669329	american	
275	schatzi on main	3MS	los angeles	3103994800	continental	
276	sofi	3S	los angeles	2136510346	mediterranean	
277	swinger	8BB	los angeles	2136535858	american	
278	tavola calda	7MA	los angeles	2136586340	italian	
279	the mandarin	4NCD	los angeles	3108590926	asian	
280	tommi tang'	7MA	los angeles	2139375733	asian	
281	tra di noi	3CCR	los angeles	3104560169	italian	
282	trader vic'	9WB	los angeles	3102766345	asian	
283	vida	1NHA	los feliz	2136604446	american	
284	west beach cafe	6NVB	los angeles	3108235396	american	
285	20 mott	2MSBBAPS	new york	2129640380	asian	
286	9 jone street	9JS	new york	2129891220	american	
287	adrienn	75AA5S	new york	2129033918	french	
288	agrotikon	3E1SB1A2A	new york	2124732602	mediterranean	
289	aja	9BA2S	new york	2124738388	american	
290	alamo	3E4S	new york	212 7590590	mexican	
291	alley' end	3W1S	new york	2126278899	american	
292	ambassador grill	1UNPA4S	new york	2127025014	american	
293	american place	2PAA3S	new york	2126842122	american	
294	anch vivolo	2E5SB2A3A	new york	2123080112	italian	
295	arizona	22E6S	new york	2128380440	american	
296	arturo'	1WHSOTS	new york	2126773820	italian	
297	au mandarin	2VSWFC	new york	2123850313	asian	
298	bar anis	13AB6A6S	new york	2123551112	mediterranean	
299	barbetta	3W4S	new york	2122469171	italian	
300	ben benson'	1W5S	new york	2125818888	american	
301	big cup	28AB2A2S	new york	2122060059	coffee bar	
302	billy'	91AB5A5S	new york	2127531870	american	
303	boca chica	11AN1S	new york	2124730108	latin american	
304	bolo	2E2S	new york	2122282200	mediterranean	
305	boonthai	12AB7A7S	new york	2122498484	asian	
306	bouterin	4E5SO1A	new york	2127580323	french	
307	brother bar-b-q	2VSACS	new york	2127272775	american	
308	bruno	2E5S	new york	2126884190	italian	
309	bryant park grill  roof restaur and bp cafe	2W4SB5A6A	new york	2128406500	american	
310	c3	1WPNWS	new york	2122541200	american	
311	ct	1E2SBPASALA	new york	2129958500	french	
312	cafe bianco	12AB7A7S	new york	2129882655	coffee bar	
313	cafe botanica	1CPS	new york	2124845120	french	
314	cafe la fortuna	6W7S	new york	2127245846	coffee bar	
315	cafe luxembourg	2W7S	new york	2128737411	french	
316	cafe pierr	2E6S	new york	2129408185	french	
317	cafe centro	2PAB4SAVA	new york	2128181222	french	
318	cafe fe	2W4SACS	new york	2129247653	mediterranean	
319	caff dant	8MSBHABS	new york	2129825275	coffee bar	
320	caff dell'artista	4GA	new york	2126454431	coffee bar	
321	caff lure	1SSBHABS	new york	2124732642	french	
322	caff reggio	1MSB3ABS	new york	2124759557	coffee bar	
323	caff roma	3BSAM	new york	2122268413	coffee bar	
324	caff vivaldi	3JSABS	new york	2126917538	coffee bar	
325	caff bondi ristorant	7W2S	new york	2126918136	italian	
326	capsouto frere	4WSNWS	new york	2129664900	french	
327	captain' tabl	82AA4S	new york	2126979538	seafood	
328	casa la femm	1WSBHAPS	new york	2125050005	middle eastern	
329	cendrillon asian grill & marimba bar	4MSBBAGS	new york	2123439012	asian	
330	chez jacquelin	7MSBWHABS	new york	2125050727	french	
331	chiam	1E4S	new york	2123712323	asian	
332	china grill	6W5S	new york	2123337788	american	
333	cite	1W5S	new york	2129567100	french	
334	coco pazzo	2E7S	new york	2127940205	italian	
335	columbu bakeri	5S	new york	2124210334	coffee bar	
336	corrado cafe	13AB6A6S	new york	2127535100	coffee bar	
337	cupcak cafe	59AA3S	new york	2124651530	coffee bar	
338	da nico	1MSBGABS	new york	2123431212	italian	
339	dean & deluca	1PS	new york	2122548776	coffee bar	
340	diva	3WBNGS	new york	2129419024	italian	
341	dix et sept	1W1S	new york	2126458023	french	
342	dock	63AA4S	new york	212 9868080	seafood	
343	duan park cafe	1DSBWBAHS	new york	2127325555	american	
344	el teddy'	2WBBFAWS	new york	2129417070	mexican	
345	emily'	15AA1S	new york	2129961212	american	
346	empir korea	6E3S	new york	2127251333	asian	
347	ernie'	2BB7A7S	new york	2124961588	american	
348	evergreen cafe	11AA6S	new york	2127443266	asian	
349	f. ill pont ristorant	3DSNWS	new york	2122264621	italian	
350	felix	3WBAGS	new york	2124310021	french	
351	ferrier	2E6S	new york	2127729000	french	
352	fifti seven fifti seven	5E5S	new york	2127585757	american	
353	film center cafe	69AB4A4S	new york	212 2622525	american	
354	fiorello' roman cafe	1BB6A6S	new york	2125955330	italian	
355	firehous	5CAB8A8S	new york	2125953139	american	
356	first	81AB5A6S	new york	2126743823	american	
357	fishin eddi	7W7S	new york	2128743474	seafood	
358	fleur de jour	3E6S	new york	2123552020	coffee bar	
359	flower	2W1SB5A6A	new york	2126918888	american	
360	follonico	6W2S	new york	2126916359	italian	
361	fraunc tavern	5PSABS	new york	2122690144	american	
362	french roast	46AA1S	new york	2125332233	french	
363	french roast cafe	2BA8S	new york	2127991533	coffee bar	
364	frico bar	4W4SO9A	new york	2125647272	italian	
365	fujiyama mama	4CAB8A8S	new york	2127691144	asian	
366	gabriela'	6AAA9S	new york	2129610574	mexican	
367	gallagher'	2W5S	new york	2122455336	american	
368	gianni'	1FS	new york	2126087300	seafood	
369	giraf	2E5SB2A3A	new york	2127523054	italian	
370	global	392AB5A6S	new york	2124778427	american	
371	golden unicorn	1EBACS	new york	212 9410911	asian	
372	grand ticino	2TSBW3ABS	new york	2127775922	italian	
373	halcyon	1W5SITRRH	new york	2124688888	american	
374	hard rock cafe	2W5S	new york	2124896565	american	
375	hi-lif restaur and loung	11AA7S	new york	2122493600	american	
376	home	2CSBBAW4S	new york	2122439579	american	
377	hudson river club	4WFC	new york	2127861500	american	
378	i trulli	1E2SBLAPA	new york	2124817372	italian	
379	il cortil	1MSBCAHS	new york	2122266060	italian	
380	il nido	2E5S	new york	2127538450	italian	
381	inca grill	4BSNWB	new york	2129663371	latin american	
382	indochin	4LSB4SAAP	new york	2125055111	asian	
383	internet cafe	8E3SB1A2A	new york	212 6140747	coffee bar	
384	ipanema	1W4S	new york	2127305848	latin american	
385	jean lafitt	6W5S	new york	2127512323	french	
386	jewel of india	1W4S	new york	2128695544	asian	
387	jimmi sung'	2E4SB2A3A	new york	2126825678	asian	
388	joe allen	3W4S	new york	2125816464	american	
389	judson grill	1W5S	new york	2125825252	american	
390	l'absinth	2E6S	new york	2127944950	french	
391	l'auberg	11AB6A6S	new york	2122888791	middle eastern	
392	l'auberg du midi	3W4SBW1ABS	new york	2122424705	french	
393	l'udo	4LSNAP	new york	2123880978	french	
394	la reserv	4W4S	new york	2122472993	french	
395	lanza restaur	11AB1A1S	new york	2126747014	italian	
396	lattanzi ristorant	3W4S	new york	2123150980	italian	
397	layla	2WBAFS	new york	2124310700	middle eastern	
398	le chantilli	1E5S	new york	2127512931	french	
399	le coloni	1E5S	new york	212 7520808	asian	
400	le gamin	5MSBHAPS	new york	2122544678	coffee bar	
401	le jardin	2CPNSS	new york	2123439599	french	
402	le madri	1W1S	new york	2127278022	italian	
403	le marai	1W4S	new york	2128690900	american	
404	le perigord	4E5S	new york	2127556244	french	
405	le select	5CAB8A8S	new york	2128751993	american	
406	le hall	4PASB2A2S	new york	2126794111	french	
407	lincoln tavern	5W6S	new york	2127218271	american	
408	lola	3W2SB5A6A	new york	2126756700	american	
409	lucki strike	5GSBWSAWB	new york	2129410479	or 212/941-0772 american	
410	mad fish	2BB7A7S	new york	2127870202	seafood	
411	main street	4CAB8A8S	new york	2128735025	american	
412	mangia e bevi	89AA5S	new york	2129563976	italian	
413	manhattan cafe	11AB6A6S	new york	2128886556	american	
414	manila garden	3E1SB1A2A	new york	2127776314	asian	
415	marichu	3E4SB1A2A	new york	2123701866	french	
416	marquet patisseri	1E1SB5AAUP	new york	2122299313	coffee bar	
417	match	1MSBHAPS	new york	2129069173	american	
418	matthew'	13AA6S	new york	2128384343	american	
419	maval palac	4E2S	new york	2126795535	asian	
420	milan cafe and coffe bar	1W2S	new york	2128071801	coffee bar	
421	monkei bar	6E5S	new york	2128382600	american	
422	montien	11AB6A6S	new york	2124214433	asian	
423	morton'	55AA4S	new york	2129723315	american	
424	motown cafe	1W5SN6A	new york	2125818030	american	
425	new york kom tang soot bul hous	3W3S	new york	212 9478482	asian	
426	new york noodletown	21BABS	new york	2123490923	asian	
427	newsbar	2W1S	new york	2122553996	coffee bar	
428	odeon	1WBATS	new york	2122330507	american	
429	orso	3W4S	new york	2124897212	italian	
430	osteria al droge	1W4S	new york	2129443643	italian	
431	otab	6E5S	new york	2122237575	asian	
432	pacifica	1LSBCAHS	new york	2129414168	asian	
433	palio	1W5S	new york	2122454850	italian	
434	pamir	11AA5S	new york	2126449258	middle eastern	
435	parioli romanissimo	2E8S	new york	2122882391	italian	
436	patria	2PASA2S	new york	2127776211	latin american	
437	peacock allei	3PAB4A5S	new york	2128724895	french	
438	pen & pencil	2E4S	new york	2126828660	american	
439	penang soho	1SSBGAMS	new york	2122748883	asian	
440	persepoli	12AB7A7S	new york	2125351100	middle eastern	
441	planet hollywood	1W5S	new york	2123337827	american	
442	pomair	3W4SO9A	new york	212 9563055	latin american	
443	popov cafe	5AAB8A8S	new york	2125958555	american	
444	post hous	2E6S	new york	2129352888	american	
445	rain	1W8S	new york	2125010776	asian	
446	red tulip	4E7S	new york	2127344893	eastern european	
447	remi	1W5S	new york	2125814242	italian	
448	republ	3USWB1A1S	new york	2126277172	asian	
449	roettel a. g	1E7SB1AAAA	new york	2126744140	continental	
450	rosa mexicano	11AA5S	new york	2127537407	mexican	
451	ruth' chri	1W5S	new york	2122459600	american	
452	s.p.q.r	1MSBHAGS	new york	2129253120	italian	
453	sal anthony'	5IP	new york	2129829030	italian	
454	sammy' roumanian steak hous	1CSADS	new york	2126730330	east european	
455	san pietro	1E5S	new york	2127539015	italian	
456	sant ambroeu	1MAB7A7S	new york	2125702211	coffee bar	
457	sarabeth' kitchen	4AAB8A8S	new york	2124966280	american	
458	sea grill	1W4S	new york	2123327610	seafood	
459	serendip	32E6S	new york	2128383531	american	
460	seventh regiment mess and bar	6PAA6S	new york	2127444107	american	
461	sfuzzi	5W6S	new york	2128733700	american	
462	shaan	5W4S	new york	212 9778400	asian	
463	sofia fabul pizza	1MAN7S	new york	2127342676	italian	
464	spring street natur restaur & bar	6SSALS	new york	2129660290	american	
465	stage deli	87AB5A5S	new york	2122457850	delicatessen	
466	stingrai	4AAB8A8S	new york	2125017515	seafood	
467	sweet'n'tart cafe	7MSACS	new york	2123348088	asian	
468	t salon	1MSAPS	new york	2129253700	coffee bar	
469	tang pavillion	6W5S	new york	2129566888	asian	
470	tapika	98AA5S	new york	212 3973737	american	
471	teresa'	11AB6A7S	new york	2122280604	east european	
472	terrac	4W1SBAAMA	new york	2126669490	continental	
473	the coffe pot	39AA4S	new york	2122653566	coffee bar	
474	the savannah club	2BA8S	new york	2124961066	american	
475	trattoria dell'art	97AB5A5S	new york	2122459800	italian	
476	triangolo	3E8S	new york	2124724488	italian	
477	tribeca grill	3GSNFS	new york	2129413900	american	
478	troi jean	1E7SBLA3A	new york	2129884858	coffee bar	
479	tse yang	3E5S	new york	2126885447	asian	
480	turkish kitchen	33AB2A2S	new york	2126791810	middle eastern	
481	two two two	2W7S	new york	2127990400	american	
482	veniero' pasticceria	3E1SN1A	new york	2126747264	coffee bar	
483	verbena	5IPA1S	new york	2122605454	american	
484	victor' cafe	52W5S	new york	2125867714	latin american	
485	vinc & eddie'	7W6S	new york	2127210068	american	
486	vong	2E5S	new york	2124869592	american	
487	water club	5E3S	new york	2126833333	american	
488	west	6SS4W6S	new york	2122466363	american	
489	xunta	11AB1A1S	new york	2126140620	mediterranean	
490	zen palat	3USEA1S	new york	2126149291	and 212/614-9345 asian	
491	zoe	9PSBBAMS	new york	2129666722	american	
492	abbei	1PDLA	atlanta	4048768532	international	
493	aleck' barbecu heaven	7MLKJD	atlanta	4045252062	barbecue	
494	annie' thai castl	3RR	atlanta	4042649546	asian	
495	anthoni	3PRJSOPR	atlanta	4042627379	american	
496	atlanta fish market	2PR	atlanta	4042623165	american	
497	beesley' of buckhead	2EPFR	atlanta	4042641334	continental	
498	bertolini'	3PRPP	atlanta	4042332333	italian	
499	bistango	1PS	atlanta	4047240901	mediterranean	
500	cafe renaiss	7JCBN	atlanta	7704410291	american	
501	camille'	1NHA	atlanta	4048727203	italian	
502	cassi	3PRGH	atlanta	4043658100	mediterranean	
503	citi grill	5HP	atlanta	4045242489	international	
504	coco loco	4BCMOTSMB	atlanta	4043640212	caribbean	
505	colonnad restaur	1CBR	atlanta	4048745642	southern	
506	dante' down the hatch  buckhead	3PR	atlanta	4042661600	continental	
507	dante' down the hatch	UUMUA	atlanta	4045771800	continental	
508	fat matt' rib shack	1PANCBR	atlanta	4046071622	barbecue	
509	french quarter food shop	9PSA8S	atlanta	4048752489	southern	
